iter	RMSE
0	12.63333206
1	10.55874242
2	9.067035972
3	8.056603417
4	7.369323235
5	6.865242682
6	6.485596392
7	6.180639244
8	5.958482833
9	5.758047524
10	5.638493186
11	5.539022867
12	5.470308909
13	5.422414924
14	5.362864731
15	5.291473594
16	5.251322572
17	5.197241157
18	5.182867095
19	5.154494193
20	5.120020699
21	5.11614572
22	5.083669347
23	5.062695735
24	5.036740048
25	4.995281821
26	4.960574631
27	4.93224812
28	4.906488833
29	4.892253005
30	4.866781309
31	4.837983311
32	4.814395269
33	4.798743971
34	4.758780654
35	4.735437315
36	4.7049599
37	4.697160983
38	4.66100563
39	4.625304639
40	4.610756664
41	4.605280857
42	4.583899248
43	4.576897203
44	4.559432507
45	4.52462777
46	4.522854498
47	4.499026844
48	4.485127072
49	4.473277281
50	4.450719166
51	4.447472803
52	4.424276372
53	4.393785698
54	4.34556097
55	4.318639938
56	4.278317884
57	4.266061047
58	4.263255297
59	4.228016205
60	4.203555902
61	4.185616603
62	4.172062259
63	4.145688924
64	4.115286543
65	4.113996062
66	4.105517475
67	4.103490525
68	4.070047035
69	4.03995139
70	4.021621814
71	4.019970704
72	4.015020994
73	4.008982498
74	3.99677308
75	3.985084149
76	3.963812068
77	3.957765551
78	3.950271948
79	3.945624614
80	3.944228402
81	3.93754982
82	3.912558955
83	3.897688015
84	3.887345369
85	3.862756394
86	3.837560397
87	3.824204442
88	3.799110389
89	3.780576356
90	3.769838648
91	3.742619527
92	3.731609782
93	3.722590652
94	3.697630699
95	3.686617534
96	3.665358832
97	3.664704155
98	3.651755834
99	3.630726616
