iter	Passed	Remaining
0	1	174
1	3	185
2	5	162
3	6	146
4	7	136
5	8	128
6	9	123
7	10	119
8	11	116
9	12	116
10	14	118
11	16	118
12	17	118
13	18	114
14	19	112
15	20	108
16	21	106
17	22	103
18	23	99
19	24	96
20	25	95
21	26	93
22	27	92
23	29	92
24	30	92
25	32	92
26	33	91
27	35	90
28	36	89
29	38	89
30	39	87
31	40	86
32	42	85
33	43	84
34	44	82
35	45	80
36	46	79
37	47	77
38	48	76
39	50	75
40	51	74
41	52	72
42	53	71
43	54	69
44	56	68
45	57	67
46	59	66
47	60	65
48	61	63
49	62	62
50	63	61
51	65	60
52	66	58
53	67	57
54	69	56
55	70	55
56	71	53
57	72	52
58	74	51
59	75	50
60	76	48
61	77	47
62	79	46
63	80	45
64	81	43
65	82	42
66	83	41
67	85	40
68	86	38
69	87	37
70	88	36
71	90	35
72	91	33
73	92	32
74	93	31
75	94	29
76	95	28
77	96	27
78	97	25
79	98	24
80	99	23
81	100	22
82	102	20
83	103	19
84	105	18
85	106	17
86	107	16
87	108	14
88	109	13
89	110	12
90	112	11
91	113	9
92	114	8
93	115	7
94	117	6
95	118	4
96	119	3
97	120	2
98	121	1
99	122	0
