iter	Passed	Remaining
0	142	142491
1	143	71581
2	144	48085
3	145	36231
4	146	29106
5	147	24365
6	147	20988
7	148	18444
8	149	16459
9	150	14897
10	151	13596
11	152	12518
12	152	11598
13	153	10805
14	154	10117
15	154	9520
16	155	9008
17	156	8541
18	157	8122
19	158	7745
20	158	7400
21	159	7090
22	160	6804
23	160	6537
24	161	6294
25	161	6068
26	162	5861
27	163	5671
28	164	5495
29	164	5327
30	165	5171
31	166	5025
32	166	4889
33	168	4782
34	169	4660
35	169	4548
36	170	4445
37	171	4340
38	172	4242
39	172	4149
40	173	4061
41	174	3983
42	175	3904
43	176	3830
44	177	3757
45	177	3688
46	178	3621
47	179	3556
48	179	3491
49	180	3431
50	181	3373
51	182	3318
52	182	3266
53	183	3216
54	184	3169
55	185	3126
56	186	3081
57	186	3037
58	187	2994
59	188	2954
60	189	2914
61	190	2875
62	190	2839
63	191	2802
64	192	2768
65	193	2737
66	194	2704
67	194	2671
68	195	2639
69	196	2609
70	197	2580
71	197	2550
72	198	2521
73	199	2492
74	199	2465
75	200	2441
76	201	2414
77	202	2388
78	202	2362
79	203	2337
80	203	2313
81	204	2290
82	204	2263
83	205	2242
84	206	2220
85	206	2198
86	207	2177
87	208	2157
88	208	2138
89	209	2118
90	210	2099
91	210	2079
92	211	2061
93	211	2042
94	212	2023
95	212	2004
96	213	1987
97	214	1970
98	214	1953
99	215	1937
100	215	1921
101	216	1905
102	216	1889
103	217	1873
104	218	1859
105	218	1844
106	219	1830
107	219	1816
108	220	1801
109	220	1787
110	221	1774
111	222	1760
112	222	1748
113	223	1735
114	223	1722
115	224	1709
116	224	1695
117	225	1682
118	225	1673
119	226	1661
120	227	1650
121	227	1637
122	228	1626
123	228	1614
124	228	1602
125	229	1591
126	230	1581
127	230	1571
128	231	1561
129	231	1550
130	232	1540
131	232	1529
132	233	1519
133	233	1509
134	234	1499
135	234	1489
136	234	1480
137	235	1470
138	235	1460
139	236	1451
140	236	1441
141	236	1431
142	237	1422
143	237	1414
144	238	1406
145	238	1397
146	239	1388
147	239	1380
148	240	1373
149	240	1365
150	241	1357
151	241	1349
152	242	1341
153	242	1333
154	243	1326
155	243	1318
156	244	1311
157	244	1303
158	245	1296
159	245	1288
160	245	1280
161	246	1273
162	246	1266
163	247	1259
164	247	1252
165	247	1245
166	248	1238
167	248	1231
168	249	1224
169	249	1218
170	250	1212
171	250	1205
172	250	1198
173	251	1192
174	251	1186
175	252	1180
176	252	1174
177	252	1168
178	253	1162
179	253	1156
180	254	1150
181	254	1144
182	255	1138
183	255	1133
184	255	1127
185	256	1121
186	256	1116
187	257	1111
188	257	1105
189	258	1100
190	258	1094
191	258	1089
192	259	1084
193	259	1079
194	260	1073
195	260	1068
196	260	1063
197	261	1059
198	261	1054
199	262	1049
200	262	1044
201	263	1039
202	263	1034
203	263	1029
204	264	1025
205	264	1020
206	265	1016
207	265	1011
208	266	1007
209	266	1002
210	266	998
211	267	993
212	267	989
213	268	984
214	268	980
215	268	975
216	269	971
217	269	967
218	269	962
219	270	958
220	270	954
221	271	950
222	271	946
223	271	942
224	272	937
225	272	934
226	273	930
227	273	926
228	274	922
229	274	918
230	274	914
231	275	910
232	275	906
233	275	903
234	276	899
235	276	895
236	277	892
237	277	888
238	277	884
239	278	880
240	278	877
241	278	873
242	279	869
243	279	866
244	280	862
245	280	859
246	280	856
247	281	852
248	281	849
249	282	846
250	282	843
251	282	839
252	283	836
253	283	833
254	284	830
255	284	827
256	285	824
257	285	821
258	286	818
259	286	815
260	286	812
261	287	809
262	287	806
263	288	803
264	288	800
265	289	797
266	289	794
267	289	791
268	290	789
269	290	786
270	291	784
271	291	781
272	292	778
273	292	775
274	293	773
275	293	770
276	294	767
277	294	764
278	294	762
279	295	759
280	295	756
281	296	753
282	296	751
283	296	748
284	297	745
285	297	743
286	298	740
287	298	737
288	298	735
289	299	732
290	299	730
291	300	727
292	300	725
293	301	723
294	301	720
295	301	718
296	302	715
297	302	713
298	303	710
299	303	708
300	304	706
301	304	703
302	304	701
303	305	699
304	305	696
305	306	694
306	306	692
307	306	689
308	307	687
309	307	685
310	308	682
311	308	680
312	309	678
313	309	675
314	309	673
315	310	671
316	310	669
317	310	666
318	311	664
319	311	662
320	312	660
321	312	658
322	313	656
323	313	653
324	313	651
325	314	649
326	314	647
327	314	645
328	315	643
329	315	641
330	316	639
331	316	637
332	317	635
333	317	633
334	318	631
335	318	629
336	318	627
337	319	625
338	319	623
339	320	621
340	320	619
341	321	617
342	321	616
343	322	614
344	322	612
345	322	610
346	323	608
347	323	606
348	324	604
349	324	602
350	325	600
351	325	599
352	325	597
353	326	595
354	326	593
355	327	591
356	327	590
357	328	588
358	328	586
359	328	584
360	329	582
361	329	581
362	330	579
363	330	577
364	331	575
365	331	574
366	332	572
367	332	571
368	333	569
369	333	567
370	334	566
371	334	564
372	335	563
373	335	561
374	336	560
375	336	558
376	336	556
377	337	555
378	337	553
379	338	551
380	338	550
381	339	548
382	339	547
383	340	545
384	340	544
385	340	542
386	341	540
387	341	539
388	342	537
389	342	536
390	343	534
391	343	533
392	344	531
393	344	530
394	345	528
395	345	527
396	346	525
397	346	524
398	347	523
399	347	521
400	348	520
401	348	518
402	349	517
403	349	516
404	350	514
405	350	512
406	351	511
407	351	510
408	352	508
409	352	507
410	353	505
411	353	504
412	354	503
413	354	502
414	355	500
415	355	499
416	356	497
417	356	496
418	356	494
419	357	493
420	357	491
421	357	490
422	358	488
423	358	487
424	359	485
425	359	484
426	359	483
427	360	481
428	360	480
429	361	478
430	361	477
431	362	476
432	362	475
433	363	473
434	363	472
435	364	470
436	364	469
437	364	468
438	365	466
439	365	465
440	365	463
441	366	462
442	366	461
443	367	459
444	367	458
445	367	457
446	368	455
447	368	454
448	369	452
449	369	451
450	369	450
451	370	449
452	370	447
453	371	446
454	371	445
455	371	443
456	372	442
457	372	440
458	373	439
459	373	438
460	373	437
461	374	436
462	375	434
463	375	433
464	375	432
465	376	431
466	376	430
467	377	428
468	377	427
469	378	426
470	378	425
471	379	424
472	379	423
473	380	422
474	380	420
475	381	419
476	381	418
477	382	417
478	382	415
479	382	414
480	383	413
481	383	412
482	384	411
483	384	410
484	385	408
485	385	407
486	385	406
487	386	405
488	386	404
489	387	402
490	387	401
491	388	400
492	388	399
493	388	398
494	389	397
495	389	395
496	390	394
497	390	393
498	390	392
499	391	391
500	391	389
501	391	388
502	392	387
503	392	386
504	392	385
505	393	384
506	393	383
507	394	382
508	394	380
509	395	379
510	395	378
511	396	377
512	396	376
513	397	375
514	397	374
515	398	373
516	398	372
517	399	371
518	399	370
519	400	369
520	400	368
521	400	367
522	401	366
523	401	365
524	402	364
525	402	362
526	403	361
527	403	360
528	404	359
529	404	358
530	404	357
531	405	356
532	405	355
533	406	354
534	406	353
535	407	352
536	407	351
537	408	350
538	408	349
539	409	348
540	409	347
541	410	346
542	410	345
543	410	344
544	411	343
545	411	342
546	411	341
547	412	340
548	412	339
549	413	338
550	413	337
551	414	336
552	414	335
553	414	334
554	415	333
555	415	332
556	416	330
557	416	329
558	417	329
559	417	328
560	417	327
561	418	326
562	418	325
563	419	324
564	419	323
565	419	321
566	420	320
567	420	320
568	421	319
569	421	318
570	422	317
571	422	316
572	423	315
573	423	314
574	423	313
575	424	312
576	424	311
577	425	310
578	425	309
579	426	308
580	426	307
581	426	306
582	427	305
583	427	304
584	427	303
585	428	302
586	428	301
587	429	300
588	429	299
589	430	298
590	430	297
591	430	296
592	431	295
593	431	295
594	431	294
595	432	293
596	433	292
597	433	291
598	434	290
599	434	289
600	435	288
601	435	287
602	436	287
603	436	286
604	437	285
605	437	284
606	438	283
607	438	282
608	439	281
609	439	280
610	439	279
611	440	279
612	440	278
613	441	277
614	441	276
615	441	275
616	442	274
617	442	273
618	443	272
619	443	271
620	444	271
621	444	270
622	445	269
623	445	268
624	445	267
625	446	266
626	446	265
627	447	264
628	447	264
629	448	263
630	448	262
631	449	261
632	449	260
633	450	259
634	450	259
635	451	258
636	451	257
637	451	256
638	452	255
639	452	254
640	453	253
641	453	252
642	453	252
643	454	251
644	454	250
645	455	249
646	455	248
647	456	247
648	456	246
649	456	246
650	457	245
651	457	244
652	458	243
653	458	242
654	458	241
655	459	240
656	459	240
657	460	239
658	460	238
659	461	237
660	461	236
661	461	235
662	462	235
663	462	234
664	463	233
665	463	232
666	464	231
667	464	231
668	465	230
669	465	229
670	466	228
671	466	227
672	467	226
673	467	226
674	467	225
675	468	224
676	468	223
677	469	222
678	469	222
679	470	221
680	470	220
681	471	219
682	471	218
683	472	218
684	472	217
685	473	216
686	473	215
687	473	214
688	474	214
689	474	213
690	475	212
691	475	211
692	475	210
693	476	210
694	476	209
695	477	208
696	477	207
697	478	206
698	478	206
699	478	205
700	479	204
701	479	203
702	480	202
703	480	202
704	481	201
705	481	200
706	481	199
707	482	198
708	482	198
709	483	197
710	483	196
711	484	195
712	484	195
713	485	194
714	485	193
715	486	192
716	486	191
717	486	191
718	487	190
719	487	189
720	488	188
721	488	188
722	488	187
723	489	186
724	489	185
725	489	184
726	490	184
727	490	183
728	491	182
729	491	181
730	492	181
731	492	180
732	493	179
733	493	178
734	493	178
735	494	177
736	494	176
737	494	175
738	495	174
739	495	174
740	496	173
741	496	172
742	496	171
743	497	171
744	497	170
745	498	169
746	498	168
747	499	168
748	499	167
749	500	166
750	500	165
751	500	165
752	501	164
753	501	163
754	502	162
755	502	162
756	503	161
757	503	160
758	503	159
759	504	159
760	504	158
761	505	157
762	505	157
763	505	156
764	506	155
765	506	154
766	507	154
767	507	153
768	508	152
769	508	151
770	509	151
771	509	150
772	509	149
773	510	149
774	510	148
775	511	147
776	511	146
777	511	146
778	512	145
779	512	144
780	513	143
781	513	143
782	514	142
783	514	141
784	515	141
785	515	140
786	515	139
787	516	138
788	516	138
789	517	137
790	517	136
791	517	136
792	518	135
793	518	134
794	519	133
795	519	133
796	520	132
797	520	131
798	520	131
799	521	130
800	521	129
801	522	128
802	522	128
803	523	127
804	523	126
805	523	126
806	524	125
807	524	124
808	525	124
809	525	123
810	526	122
811	526	121
812	527	121
813	527	120
814	527	119
815	528	119
816	528	118
817	529	117
818	529	117
819	530	116
820	530	115
821	531	115
822	531	114
823	531	113
824	532	112
825	532	112
826	533	111
827	533	110
828	534	110
829	534	109
830	535	108
831	535	108
832	536	107
833	536	106
834	537	106
835	538	105
836	538	104
837	538	104
838	539	103
839	539	102
840	540	102
841	540	101
842	541	100
843	541	100
844	542	99
845	542	98
846	543	98
847	543	97
848	544	96
849	544	96
850	545	95
851	545	94
852	546	94
853	546	93
854	547	92
855	547	92
856	548	91
857	548	90
858	549	90
859	549	89
860	550	88
861	550	88
862	550	87
863	551	86
864	551	86
865	552	85
866	552	84
867	552	84
868	553	83
869	553	82
870	554	82
871	554	81
872	555	80
873	555	80
874	556	79
875	556	78
876	557	78
877	557	77
878	557	76
879	558	76
880	558	75
881	559	74
882	559	74
883	559	73
884	560	72
885	560	72
886	561	71
887	561	70
888	562	70
889	562	69
890	562	68
891	563	68
892	563	67
893	564	66
894	564	66
895	565	65
896	565	64
897	566	64
898	566	63
899	566	62
900	567	62
901	567	61
902	568	61
903	568	60
904	569	59
905	569	59
906	570	58
907	570	57
908	571	57
909	571	56
910	572	55
911	572	55
912	573	54
913	573	53
914	573	53
915	574	52
916	574	52
917	575	51
918	575	50
919	576	50
920	576	49
921	577	48
922	577	48
923	578	47
924	578	46
925	579	46
926	579	45
927	580	45
928	580	44
929	581	43
930	581	43
931	581	42
932	582	41
933	583	41
934	583	40
935	583	39
936	584	39
937	584	38
938	585	38
939	585	37
940	586	36
941	586	36
942	586	35
943	587	34
944	587	34
945	588	33
946	588	32
947	588	32
948	589	31
949	589	31
950	590	30
951	590	29
952	590	29
953	591	28
954	591	27
955	592	27
956	592	26
957	593	26
958	593	25
959	594	24
960	594	24
961	594	23
962	595	22
963	595	22
964	596	21
965	596	21
966	597	20
967	597	19
968	598	19
969	598	18
970	598	17
971	599	17
972	599	16
973	600	16
974	600	15
975	601	14
976	601	14
977	601	13
978	602	12
979	602	12
980	603	11
981	603	11
982	604	10
983	604	9
984	605	9
985	605	8
986	605	7
987	606	7
988	606	6
989	607	6
990	607	5
991	608	4
992	608	4
993	609	3
994	609	3
995	610	2
996	610	1
997	611	1
998	611	0
999	612	0
